"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C2,C3,C4,C5,C6,C8,C9,C10,C12,C13,C14,C15,C16,C17,C18,C19,C20","10nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","18","","",""
"C7,C21,C25","220uF","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder","~","3","","",""
"C11,C22,C26","100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","3","","",""
"C23","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","1","","",""
"C24","100nF","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder","~","1","","",""
"J1","GPIO","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","~","1","","",""
"J2","Screw_Terminal_01x06","RPiWattMeterFootprints:PhoenixContact_1891108","~","1","","",""
"J3,J4,J5","Screw_Terminal_01x12","RPiWattMeterFootprints:PhoenixContact_PTSA 0,5_12-2,5-F","~","3","","",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R22,R23,R24","22R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","18","","",""
"R16,R18,R20","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","3","","",""
"R17,R19,R21","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","3","","",""
"R25,R26","12k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","2","","",""
"U1,U5,U7","MCP3008","Package_DIP:DIP-16_W7.62mm_Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/21295d.pdf","3","","",""
"U2,U3,U4","160D20","RPiWattMeterFootprints:Hammond_160D20","","3","","",""
"U6","LMV321","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lmv324.pdf","1","","",""
